Price,Date,Depart_Time,Return_Time,Depart_Dirport,Return_Airport,Airline_Name,Flight_Type,flight_duration
$105,Fri 21 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
$106,Sun 16 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
$106,Tue 11 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
$106,Thu 13 Apr,19:45Madrid,20:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Royal Air Maroc,Direct,2h 50m
$97,Wed 3 May,07:40Madrid,10:35Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,TAP Portugal,1 stop,3h 55m
$119,Tue 20 Jun,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$119,Mon 19 Jun,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$119,Thu 27 Jul,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$121,Fri 12 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$121,Thu 11 May,11:25Madrid,12:20Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 55m
$86,Wed 3 May,11:05Madrid,16:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,TAP Portugal,1 stop,6h 05m
$86,Fri 5 May,11:05Madrid,16:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,TAP Portugal,1 stop,6h 05m
$124,Wed 3 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$124,Sun 7 May,16:20Madrid,17:10Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
$124,Sun 12 Mar,11:15Madrid,13:05Casablanca,Adolfo Suárez Madrid–Barajas,Mohammed V International,Iberia Airlines,Direct,1h 50m
